,Prediccion_host_response_rate,Prediccion_host_is_superhost,Prediccion_host_identity_verified,Prediccion_property_type,Prediccion_instant_bookable,Prediccion_review_scores_cleanliness,Prediccion_bathrooms,host_response_rate,host_is_superhost,host_identity_verified,property_type,instant_bookable,accommodates,bathrooms,price,review_scores_cleanliness
Prediccion_host_response_rate,1.0,0.32477036952583177,0.22305025044351987,0.011603120490099613,0.2104529168304951,0.09652463963067137,0.06695271113812082,1.0000000000000067,0.32477036952590466,0.22305025044351845,0.011603120490099246,0.2104529168304922,0.027864284245510084,0.06695271113812364,0.06274961582217661,0.09652463963065079
Prediccion_host_is_superhost,0.32477036952583177,1.0,0.08927684246626023,0.0687566310472054,0.056226287664619325,0.07329765516173331,0.06385361433614202,0.32477036952582344,1.0000000000000064,0.08927684246626576,0.06875663104720668,0.056226287664617035,0.03399835784766913,0.06385361433614012,0.020944979860992058,0.07329765516172422
Prediccion_host_identity_verified,0.22305025044351987,0.08927684246626023,1.0,0.018688732892289485,0.06906286119760109,0.05537851393388297,0.06672968202453824,0.22305025044352322,0.08927684246629562,1.0000000000000027,0.018688732892289804,0.0690628611976011,0.01973583080320704,0.06672968202453976,0.03526080255091605,0.05537851393387191
Prediccion_property_type,0.011603120490099613,0.0687566310472054,0.018688732892289485,1.0,0.08815311398178437,0.005805770479871585,0.023929720787513785,0.011603120490077806,0.06875663104710723,0.018688732892275246,1.000000000000007,0.0881531139817794,0.04920021454269501,0.023929720787518795,0.10358821846619265,0.005805770479910197
Prediccion_instant_bookable,0.2104529168304951,0.056226287664619325,0.06906286119760109,0.08815311398178437,1.0,0.08520926059677912,0.013756053895437435,0.21045291683050785,0.05622628766472899,0.0690628611975946,0.08815311398178415,0.9999999999999974,0.009797337723244015,0.013756053895441862,0.07074598215393912,0.08520926059674842
Prediccion_review_scores_cleanliness,0.09652463963067137,0.07329765516173331,0.05537851393388297,0.005805770479871585,0.08520926059677912,1.0,0.02213821528614428,0.0965246396306572,0.07329765516181506,0.055378513933889935,0.005805770479875314,0.08520926059678274,0.02398288100495171,0.022138215286148764,0.111831513663403,0.9999999999999973
Prediccion_bathrooms,0.06695271113812082,0.06385361433614202,0.06672968202453824,0.023929720787513785,0.013756053895437435,0.02213821528614428,1.0,0.06695271113812049,0.06385361433615394,0.06672968202454013,0.02392972078751313,0.013756053895436788,0.4179374882751672,0.9999999999999959,0.29542781493897624,0.022138215286143174
host_response_rate,1.0000000000000067,0.32477036952582344,0.22305025044352322,0.011603120490077806,0.21045291683050785,0.0965246396306572,0.06695271113812049,1.0,0.32477036952589683,0.22305025044352073,0.01160312049007699,0.21045291683050513,0.02786428424550811,0.06695271113812294,0.06274961582217524,0.09652463963063747
host_is_superhost,0.32477036952590466,1.0000000000000064,0.08927684246629562,0.06875663104710723,0.05622628766472899,0.07329765516181506,0.06385361433615394,0.32477036952589683,1.0,0.08927684246630192,0.06875663104710893,0.05622628766472669,0.03399835784766746,0.06385361433615239,0.020944979861009398,0.07329765516180554
host_identity_verified,0.22305025044351845,0.08927684246626576,1.0000000000000027,0.018688732892275246,0.0690628611975946,0.055378513933889935,0.06672968202454013,0.22305025044352073,0.08927684246630192,1.0,0.018688732892275562,0.06906286119759573,0.019735830803211334,0.06672968202454134,0.035260802550916355,0.055378513933878104
property_type,0.011603120490099246,0.06875663104720668,0.018688732892289804,1.000000000000007,0.08815311398178415,0.005805770479875314,0.02392972078751313,0.01160312049007699,0.06875663104710893,0.018688732892275562,1.0,0.0881531139817793,0.049200214542693986,0.023929720787518358,0.10358821846619133,0.005805770479913872
instant_bookable,0.2104529168304922,0.056226287664617035,0.0690628611976011,0.0881531139817794,0.9999999999999974,0.08520926059678274,0.013756053895436788,0.21045291683050513,0.05622628766472669,0.06906286119759573,0.0881531139817793,1.0,0.009797337723245036,0.013756053895441194,0.0707459821539387,0.08520926059675282
accommodates,0.027864284245510084,0.03399835784766913,0.01973583080320704,0.04920021454269501,0.009797337723244015,0.02398288100495171,0.4179374882751672,0.02786428424550811,0.03399835784766746,0.019735830803211334,0.049200214542693986,0.009797337723245036,1.0,0.4179374882751628,0.2260074396573464,0.023982881004954233
bathrooms,0.06695271113812364,0.06385361433614012,0.06672968202453976,0.023929720787518795,0.013756053895441862,0.022138215286148764,0.9999999999999959,0.06695271113812294,0.06385361433615239,0.06672968202454134,0.023929720787518358,0.013756053895441194,0.4179374882751628,1.0,0.2954278149389778,0.02213821528614789
price,0.06274961582217661,0.020944979860992058,0.03526080255091605,0.10358821846619265,0.07074598215393912,0.111831513663403,0.29542781493897624,0.06274961582217524,0.020944979861009398,0.035260802550916355,0.10358821846619133,0.0707459821539387,0.2260074396573464,0.2954278149389778,1.0,0.11183151366340276
review_scores_cleanliness,0.09652463963065079,0.07329765516172422,0.05537851393387191,0.005805770479910197,0.08520926059674842,0.9999999999999973,0.022138215286143174,0.09652463963063747,0.07329765516180554,0.055378513933878104,0.005805770479913872,0.08520926059675282,0.023982881004954233,0.02213821528614789,0.11183151366340276,1.0
